"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JavaScript JSX", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\login-logs\login-logs.module.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\login-logs\login-logs.service.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 3, 13, 54
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\login-logs\repo\LoginReportsRepository.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\main.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass-cancel-details\dto\create-pass-cancel-detail.dto.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 5, 10
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass-cancel-details\dto\update-pass-cancel-detail.dto.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass-cancel-details\entities\pass-cancel-detail.entity.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass-cancel-details\pass-cancel-details.controller.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass-cancel-details\pass-cancel-details.controller.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass-cancel-details\pass-cancel-details.module.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass-cancel-details\pass-cancel-details.service.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass-cancel-details\pass-cancel-details.service.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass-cancel-details\repo\cancelPass.repository.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass\dto\create-tblVisitor.dto.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 9, 32
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass\dto\update-pass.dto.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 11, 43
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass\entities\tblVisitor.entity.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 17, 59
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass\pass.controller.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 4, 14, 56
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass\pass.module.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass\pass.service.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 4, 16, 67
