"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass\pass.controller.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 4, 14, 56
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass\pass.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass\pass.service.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 4, 16, 67
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\pass\repo\pass.repository.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\tvv-date\dto\create-tvv-date.dto.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 5, 11, 38
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\tvv-date\dto\update-tvv-date.dto.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 2, 5, 16
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\tvv-date\entities\tvv-date.entity.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 3, 23, 82
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\tvv-date\repo\tvv-date.repository.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\tvv-date\tvv-date.controller.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 1, 13, 48
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\tvv-date\tvv-date.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\tvv-date\tvv-date.service.ts", "TypeScript", 0, 0, 0, 77, 0, 0, 2, 19, 98
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\constants\user.constants.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 1, 1, 9
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\dto\create-user.dto.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 13, 34
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\dto\update-user.dto.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 4, 10
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\dto\updatePassword.dto.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\entities\user.entity.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 21, 62
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\repo\user.repository.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\user.controller.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 2, 22, 79
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\user.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\user.service.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 22, 17, 89
