"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\tvv-date\tvv-date.module.ts", "TypeScript", 14, 0, 0, 3, 17
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\tvv-date\tvv-date.service.ts", "TypeScript", 77, 0, 2, 19, 98
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\constants\user.constants.ts", "TypeScript", 7, 0, 1, 1, 9
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\dto\create-user.dto.ts", "TypeScript", 21, 0, 0, 13, 34
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\dto\update-user.dto.ts", "TypeScript", 6, 0, 0, 4, 10
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\dto\updatePassword.dto.ts", "TypeScript", 5, 0, 0, 1, 6
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\entities\user.entity.ts", "TypeScript", 41, 0, 0, 21, 62
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\repo\user.repository.ts", "TypeScript", 6, 0, 0, 0, 6
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\user.controller.ts", "TypeScript", 55, 0, 2, 22, 79
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\user.module.ts", "TypeScript", 14, 0, 0, 3, 17
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\user\user.service.ts", "TypeScript", 50, 0, 22, 17, 89
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\dto\create-visitor-appointment-generate.dto.ts", "TypeScript", 28, 0, 6, 15, 49
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\dto\update-visitor-appointment-generate.dto.ts", "TypeScript", 3, 0, 0, 2, 5
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\entities\visitor-appointment-generate.entity.ts", "TypeScript", 59, 0, 1, 21, 81
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\repo\appointment.repository.ts", "TypeScript", 3, 0, 0, 2, 5
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\visitor-appointment-generate.controller.ts", "TypeScript", 15, 0, 0, 6, 21
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\visitor-appointment-generate.module.ts", "TypeScript", 12, 0, 0, 2, 14
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\visitor-appointment-generate.service.spec.ts", "TypeScript", 21, 0, 8, 61, 90
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\visitor-appointment-generate\visitor-appointment-generate.service.ts", "TypeScript", 30, 0, 3, 12, 45
"Total", "-", 1271, 6, 69, 486, 1832
